degradation,model,causal_mask_links,distribution_mean_mae,diversity_std,linked_corr,unlinked_corr,consistency_gap
clean,causal_masked,4.0,0.5314767956733704,2.47554874420166,0.4729347691066432,0.01763440282423109,0.45530036628241216
clean,baseline,,2.231178045272827,2.325932741165161,0.24986800334296128,0.1510384523326793,0.09882955101028199
dropout_10,causal_masked,4.0,1.5585635900497437,2.5617311000823975,0.37284832250089744,0.032200518342020014,0.3406478041588774
dropout_10,baseline,,1.1072227954864502,2.134657144546509,0.3302062594792764,0.24202693873194428,0.08817932074733212
dropout_25,causal_masked,5.0,1.089888334274292,2.263054370880127,0.36247114682680454,0.01717002604994074,0.3453011207768638
dropout_25,baseline,,1.015932321548462,2.3687891960144043,0.2000767945998759,0.2946345848330595,-0.09455779023318359
dropout_50,causal_masked,4.0,0.9685853123664856,2.144990921020508,0.3559614216204562,0.08108034841963731,0.2748810732008189
dropout_50,baseline,,1.3018096685409546,2.490612268447876,0.2093474672620868,0.16873802425091047,0.04060944301117633
delay_1,causal_masked,5.0,0.4889078140258789,2.0121676921844482,0.34994228533616945,0.029123163620114058,0.32081912171605537
delay_1,baseline,,0.7512826919555664,2.5431807041168213,0.22212856032256162,0.08307949164055083,0.13904906868201078
delay_2,causal_masked,5.0,0.4104188084602356,2.2888975143432617,0.19991753181818103,0.019428710402092354,0.18048882141608869
delay_2,baseline,,0.45776376128196716,2.738054037094116,0.2799007790765984,0.05282786625752074,0.22707291281907765
dropout_20_delay_1,causal_masked,5.0,0.49602019786834717,2.3094797134399414,0.3703751895964028,0.046335747381108294,0.3240394422152945
dropout_20_delay_1,baseline,,1.103890061378479,2.5805904865264893,0.2757209975585682,0.24618715826701337,0.029533839291554842
dropout_20_delay_1,robust_masked,4.0,0.9238855242729187,1.8415528535842896,0.24036079163102425,0.025805066803129748,0.2145557248278945
